order_month,orders,late_rate
2015-01,5322,0.5411499436302142
2015-02,4729,0.5485303446817509
2015-03,5362,0.5475568817605371
2015-04,5126,0.538431525555989
2015-05,5357,0.5508680231472839
2015-06,5134,0.5410985586287496
2015-07,5299,0.5546329496131346
2015-08,5273,0.5567987862696757
2015-09,5140,0.5669260700389105
2015-10,5302,0.5480950584685025
2015-11,5235,0.5426934097421203
2015-12,5371,0.5468255445913238
2016-01,5317,0.5557645288696633
2016-02,4894,0.5414793624846751
2016-03,5210,0.5575815738963532
2016-04,5097,0.5522856582303316
2016-05,5302,0.5565824217276499
2016-06,5054,0.5684606252473289
2016-07,5305,0.5193213949104618
2016-08,5334,0.5526809148856393
2016-09,5160,0.5498062015503876
2016-10,5398,0.547795479807336
2016-11,5210,0.5462571976967371
2016-12,5269,0.5606376921617006
2017-01,5217,0.5361318765574085
2017-02,4906,0.5466775377089278
2017-03,5347,0.5526463437441556
2017-04,5212,0.5377973906369916
2017-05,5317,0.5347000188075983
2017-06,4951,0.5350434255705918
2017-07,5318,0.5477623166603987
2017-08,5305,0.564373232799246
2017-09,5189,0.5423010213914049
2017-10,2255,0.5365853658536586
2017-11,2055,0.5508515815085158
2017-12,2124,0.551789077212806
2018-01,2123,0.5628827131417805
